sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
陽明,臺北市,23,,良好,0.1,0.12,25.5,25,16,3,2.8,3.9,1.1,,,"2023/08/16 14:00:00",0.1,3.2,10,0,121.529583,25.182722,64
宜蘭,宜蘭縣,36,,良好,1.7,0.14,36.6,27.2,18,11,3.6,4.6,1,0.9,198,"2023/08/16 14:00:00",0.1,11.2,16,1,121.746394,24.747917,65
冬山,宜蘭縣,30,,良好,1.3,0.55,22,24.2,21,7,18.3,26.4,8.1,1.3,152,"2023/08/16 14:00:00",0.2,6.9,18,0,121.792928,24.632203,66
三重,新北市,57,二氧化氮,普通,1.2,1.34,3.8,4.3,15,19,39.9,110,70,-,-,"2023/08/16 14:00:00",1,13.6,16,1,121.493806,25.072611,67
中壢,桃園市,31,,良好,0.6,0.7,10.1,5.7,13,7,,,,0.8,196,"2023/08/16 14:00:00",0.7,9.4,14,0,121.221667,24.953278,68
竹山,南投縣,28,,良好,0.4,0.15,16.2,12.8,13,5,4.8,6.2,1.3,2.1,9,"2023/08/16 14:00:00",0.1,8.6,15,0,120.677306,23.756389,69
永和,新北市,43,,良好,0.3,0.77,14.4,12.8,7,10,26.1,40.2,14.1,0.9,299,"2023/08/16 14:00:00",0.7,10.7,13,0,121.516306,25.017,70
復興,高雄市,32,,良好,0.5,0.25,20.6,12.5,21,9,6.6,10.4,3.8,1.4,286,"2023/08/16 14:00:00",0.5,10,20,0,120.312017,22.608711,71
埔里,南投縣,28,,良好,,,18.6,11.3,,,,,,1.3,113,"2023/08/16 14:00:00",0.2,8.5,19,1,120.967903,23.968842,72
馬祖,連江縣,44,,良好,0.7,0.18,59.7,48.2,9,8,1.2,1.6,0.3,3.4,179,"2023/08/16 14:00:00",0.2,6.4,10,0,119.93149378,26.15188416,75
金門,金門縣,70,細懸浮微粒,普通,1.5,0.22,,28.2,41,,6.6,8.3,1.6,3,183,"2023/08/16 14:00:00",0.3,23.1,40,2,118.312256,24.432133,77
馬公,澎湖縣,27,,良好,0,0.14,31.4,24.1,23,15,,,,1.8,187,"2023/08/16 14:00:00",0.1,8.3,20,0,119.566158,23.569031,78
關山,臺東縣,19,,良好,0,0.1,25.5,21.1,19,0,1.3,2.1,0.7,2.5,218,"2023/08/16 14:00:00",0.1,3.3,18,0,121.161933,23.045083,80
麥寮,雲林縣,30,,良好,1,0.12,40.4,29,27,10,0,1.5,1.5,3.2,243,"2023/08/16 14:00:00",0.1,9.2,26,1,120.251825,23.753506,83
富貴角,新北市,29,,良好,0.4,0.12,27.5,31.5,18,4,7.1,9.7,2.6,4.4,249,"2023/08/16 14:00:00",0,4,15,0,121.53656894,25.29681695,84
大城,彰化縣,32,,良好,,,31.2,25.2,25,11,,,,3,249,"2023/08/16 14:00:00",0.1,10,24,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,30,,良好,1.3,0.17,20.1,19.4,14,11,5.1,6.9,1.8,2,134,"2023/08/16 14:00:00",0.2,9.1,17,1,120.56373,23.96117,201
高雄(湖內),高雄市,26,,良好,0.7,0.11,25,10.9,21,10,0.7,1.2,0.5,2.2,284,"2023/08/16 14:00:00",0.1,8,21,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,23,,良好,0.6,0.2,,10.9,,,7,11.3,4.2,1,120,"2023/08/16 14:00:00",0.2,7,22,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,41,,良好,1,0.1,22.6,17.9,37,11,1.3,2.2,0.8,1.5,309,"2023/08/16 14:00:00",0.1,12.5,40,1,120.37722,22.35222,204
桃園(三民),桃園市,,,,,,,,,,,,,,,"2023/08/16 14:00:00",,,,,121.31788148,25.00132736,310
新北(樹林),新北市,42,,良好,1.8,0.31,9.9,10.6,12,8,25.3,35.5,10.1,0.4,35,"2023/08/16 14:00:00",0.2,9.1,14,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,50,,良好,0.4,0.07,27.3,23.6,53,10,1.3,1.2,0,5.7,291,"2023/08/16 14:00:00",0.1,10.5,50,0,120.651472,22.260899,313
